,tmed,velmedia,presmed,fecha
1810,12.8,6.7,956.0,2014-03-29
1814,11.8,5.0,958.6500000000001,2014-03-30
1818,13.4,4.2,960.15,2014-03-31
1821,15.8,6.9,955.2,2014-04-01
1825,13.9,6.1,949.8,2014-04-02
1830,9.9,4.4,951.7,2014-04-03
1833,12.8,3.6,960.5,2014-04-04
1836,15.0,2.5,966.2,2014-04-05
1842,16.5,0.6,962.3931034482756,2014-04-06
1847,17.2,3.6,966.15,2014-04-07
1850,12.3,5.8,970.7,2014-04-08
1852,13.9,1.4,969.2,2014-04-09
1856,16.0,0.6,964.4,2014-04-10
1861,15.2,5.0,963.55,2014-04-11
1867,13.4,4.7,966.2,2014-04-12
1869,14.7,5.0,968.3,2014-04-13
1875,16.0,1.9,965.0,2014-04-14
1876,18.3,2.5,962.8,2014-04-15
1882,17.0,2.2,964.9000000000001,2014-04-16
1884,15.0,3.6,966.8,2014-04-17
1889,14.0,3.6,962.5,2014-04-18
1892,11.2,5.3,955.0999999999999,2014-04-19
1896,9.4,1.7,951.05,2014-04-20
1903,10.9,0.8,952.7,2014-04-21
1905,12.4,2.8,960.55,2014-04-22
1910,12.6,2.2,967.0,2014-04-23
1915,11.6,2.2,963.65,2014-04-24
1918,11.7,4.4,965.3,2014-04-25
1922,11.3,3.1,962.8499999999999,2014-04-26
1925,11.5,4.7,964.85,2014-04-27
1928,12.1,3.6,964.3,2014-04-28
1933,14.0,3.3,964.05,2014-04-29
1936,15.4,5.8,964.1,2014-04-30
1942,13.4,4.4,965.8,2014-05-01
1946,11.0,5.3,968.35,2014-05-02
1950,11.8,7.5,968.3499999999999,2014-05-03
1953,12.5,6.9,964.1500000000001,2014-05-04
1959,14.3,1.7,961.25,2014-05-05
1961,16.8,1.1,963.3499999999999,2014-05-06
1967,16.0,4.7,966.75,2014-05-07
1970,16.0,2.8,968.05,2014-05-08
1973,14.4,6.7,969.95,2014-05-09
1979,16.5,4.4,967.6,2014-05-10
1981,12.4,6.1,967.5,2014-05-11
1986,11.8,4.2,966.85,2014-05-12
1988,11.3,5.6,972.65,2014-05-13
1993,11.3,5.6,975.45,2014-05-14
1996,14.2,5.8,971.55,2014-05-15
2001,12.8,6.1,967.1500000000001,2014-05-16
2007,13.8,5.3,963.6,2014-05-17
2008,15.2,3.6,958.65,2014-05-18
2012,17.2,5.8,951.65,2014-05-19
2017,16.9,5.8,954.0,2014-05-20
2021,16.2,10.0,952.45,2014-05-21
2027,12.8,5.0,957.2,2014-05-22
2029,11.4,3.3,960.75,2014-05-23
2034,13.2,1.4,963.05,2014-05-24
2039,12.4,3.1,964.6500000000001,2014-05-25
2043,12.7,4.4,967.45,2014-05-26
2046,14.4,1.7,965.9,2014-05-27
2048,12.4,3.1,963.65,2014-05-28
2055,14.4,2.8,965.6,2014-05-29
2057,13.8,5.8,968.6,2014-05-30
2060,14.4,6.4,969.5999999999999,2014-05-31
2066,15.4,6.7,969.55,2014-06-01
2071,13.0,6.1,968.3,2014-06-02
2074,16.2,2.8,965.6,2014-06-03
2079,11.6,5.6,962.8,2014-06-04
2081,16.8,3.1,960.1,2014-06-05
2084,22.4,5.6,957.25,2014-06-06
2091,23.2,4.4,961.6500000000001,2014-06-07
2094,22.0,2.2,963.4,2014-06-08
2096,23.0,3.3,962.15,2014-06-09
2101,19.4,5.8,967.2,2014-06-10
2104,22.3,2.2,969.4,2014-06-11
2110,23.4,2.5,969.3499999999999,2014-06-12
2114,22.2,4.7,968.05,2014-06-13
2118,18.6,8.3,966.9,2014-06-14
2123,18.4,8.9,965.8499999999999,2014-06-15
2126,17.3,6.4,965.1,2014-06-16
2130,16.8,5.3,964.3,2014-06-17
2133,18.2,3.9,965.3,2014-06-18
2139,19.0,2.5,964.8499999999999,2014-06-19
2143,23.1,0.6,961.85,2014-06-20
2144,25.1,2.5,961.05,2014-06-21
2148,22.5,3.6,964.75,2014-06-22
2155,21.6,3.3,964.7,2014-06-23
2159,19.4,3.3,963.45,2014-06-24
2163,19.2,6.7,962.5,2014-06-25
2167,17.7,4.7,964.7,2014-06-26
2171,20.1,3.6,963.8,2014-06-27
2174,21.5,5.0,962.2,2014-06-28
2177,16.9,4.7,967.25,2014-06-29
2182,18.8,1.1,965.2,2014-06-30
2185,21.2,4.2,960.75,2014-07-01
2189,18.8,3.1,965.75,2014-07-02
2195,19.8,1.9,966.2,2014-07-03
2199,19.7,2.8,963.5,2014-07-04
2201,22.8,2.5,961.8499999999999,2014-07-05
2207,19.4,2.8,961.7,2014-07-06
2209,15.8,5.8,966.3,2014-07-07
2215,16.6,3.9,968.4,2014-07-08
2219,15.6,4.2,969.6500000000001,2014-07-09
2221,15.8,6.9,969.45,2014-07-10
2224,16.6,6.1,968.6,2014-07-11
2230,17.1,3.9,967.55,2014-07-12
2234,19.0,2.8,965.7,2014-07-13
2237,20.0,5.8,967.1500000000001,2014-07-14
2242,21.8,1.9,966.8,2014-07-15
2244,25.5,1.4,965.9000000000001,2014-07-16
2250,27.7,1.9,964.0,2014-07-17
2254,25.8,5.6,959.7,2014-07-18
2258,22.1,3.9,958.95,2014-07-19
2262,18.8,5.0,965.25,2014-07-20
2265,18.6,5.6,969.9,2014-07-21
2270,20.2,5.6,966.75,2014-07-22
2273,21.8,3.9,961.75,2014-07-23
2279,21.6,4.7,961.15,2014-07-24
2283,23.2,2.5,961.95,2014-07-25
2287,22.0,5.0,964.95,2014-07-26
2290,21.2,4.4,966.0,2014-07-27
2293,20.2,4.2,964.8,2014-07-28
2297,18.4,6.4,965.6500000000001,2014-07-29
2301,18.6,6.9,965.15,2014-07-30
2305,20.6,2.2,962.4,2014-07-31
2310,22.4,1.9,959.3,2014-08-01
2312,21.8,1.9,958.3,2014-08-02
2316,22.4,2.5,961.7,2014-08-03
2321,20.9,4.4,965.75,2014-08-04
2325,20.8,3.9,967.1,2014-08-05
2331,21.0,4.4,966.25,2014-08-06
2333,22.6,3.1,964.6,2014-08-07
2337,26.2,3.9,960.05,2014-08-08
2343,24.8,2.2,959.55,2014-08-09
2345,25.1,3.1,961.6500000000001,2014-08-10
2349,20.4,6.7,965.8,2014-08-11
2354,20.8,1.1,962.2,2014-08-12
2359,16.4,5.6,963.55,2014-08-13
2363,16.6,5.0,967.75,2014-08-14
2364,17.4,4.7,969.4,2014-08-15
2368,16.0,5.8,971.1500000000001,2014-08-16
2375,18.9,2.2,966.1500000000001,2014-08-17
2377,21.0,2.8,960.7,2014-08-18
2382,19.4,4.7,964.05,2014-08-19
2384,17.9,5.0,965.8,2014-08-20
2388,18.4,2.5,964.85,2014-08-21
2395,13.8,4.2,965.65,2014-08-22
2399,15.3,3.6,968.3,2014-08-23
2402,19.8,2.2,966.75,2014-08-24
2404,23.5,2.8,962.95,2014-08-25
2411,23.9,3.1,962.0,2014-08-26
2414,25.0,2.2,963.7,2014-08-27
2416,24.8,3.1,964.45,2014-08-28
2420,21.0,6.9,967.3,2014-08-29
2426,20.2,4.2,967.0,2014-08-30
2428,20.5,4.7,966.7,2014-08-31
2433,22.2,6.1,965.45,2014-09-01
2436,22.2,3.9,963.2,2014-09-02
2440,23.2,1.9,960.05,2014-09-03
2447,22.0,2.5,962.45,2014-09-04
2450,20.8,2.5,962.7,2014-09-05
2453,23.8,1.4,960.0,2014-09-06
2456,25.2,2.5,959.1500000000001,2014-09-07
2460,22.6,0.0,963.75,2014-09-08
2467,23.0,2.5,964.35,2014-09-09
2469,23.7,1.7,961.25,2014-09-10
2472,23.0,3.9,961.5,2014-09-11
2478,21.4,3.3,964.15,2014-09-12
2480,20.8,2.8,964.3,2014-09-13
2487,21.7,1.9,961.65,2014-09-14
2488,20.8,0.8,961.45,2014-09-15
2495,21.8,6.1,956.4,2014-09-16
2496,23.6,6.7,954.4,2014-09-17
2500,22.8,4.7,956.1,2014-09-18
2506,22.2,4.7,959.8,2014-09-19
2509,20.9,3.1,965.15,2014-09-20
2514,20.4,1.9,966.4,2014-09-21
2519,17.4,1.4,964.25,2014-09-22
2521,15.2,3.9,963.05,2014-09-23
2527,13.0,3.9,966.7,2014-09-24
2531,14.8,4.2,969.05,2014-09-25
2535,16.0,1.4,970.55,2014-09-26
2536,16.8,2.8,969.8,2014-09-27
2543,18.4,1.1,969.3,2014-09-28
2547,17.2,0.3,970.45,2014-09-29
2551,17.5,3.6,972.7,2014-09-30
2553,18.2,2.5,973.25,2014-10-01
2559,18.4,0.6,972.0,2014-10-02
2563,18.6,0.6,969.15,2014-10-03
2567,17.4,2.2,966.4,2014-10-04
2569,14.0,3.3,965.1500000000001,2014-10-05
2572,15.7,2.5,959.8499999999999,2014-10-06
2576,17.711111111111112,1.7,965.7275862068965,2014-10-07
2582,17.711111111111112,5.0,965.7275862068965,2014-10-08
2586,18.8,3.1,958.9000000000001,2014-10-09
2589,18.8,0.0,961.2,2014-10-10
2592,18.4,3.3,957.95,2014-10-11
2599,17.9,6.9,953.7,2014-10-12
