,indicativo,fecha,tmed,dir,velmedia,presMax,presMin
93,9263D,2012-04-03,9.2,33.0,3.1,956.4,953.1
93,9434,2012-04-03,12.8,31.0,2.5,977.5,974.9
94,9263D,2012-04-04,10.9,32.0,2.2,956.2,953.4
94,9434,2012-04-04,13.1,30.0,6.1,977.8,975.4
94,9898,2012-04-04,12.0,10.0,2.5,943.1,941.5
94,0076,2012-04-04,12.8,34.0,5.3,1008.0,1004.4
95,9434,2012-04-05,13.2,23.0,1.1,978.1,975.1
95,9263D,2012-04-05,9.6,34.0,0.0,955.6,953.3
95,9898,2012-04-05,10.6,10.0,2.5,944.1,942.6
95,0076,2012-04-05,13.3,3.0,4.7,1009.1,1006.7
96,9434,2012-04-06,11.2,24.0,2.8,980.3,976.1
96,9263D,2012-04-06,7.4,99.0,0.6,956.7,952.8
96,0076,2012-04-06,13.3,99.0,3.9,1009.5,1006.4
96,9898,2012-04-06,8.6,24.0,3.1,945.8,942.6
97,9434,2012-04-07,9.5,29.0,4.4,984.8,979.6
97,9263D,2012-04-07,5.4,30.0,1.7,963.9,955.7
97,9898,2012-04-07,8.5,30.0,5.6,947.4,944.7
97,0076,2012-04-07,12.6,25.0,6.4,1010.0,1006.8
98,0076,2012-04-08,15.2,99.0,5.8,1014.3,1009.8
98,9263D,2012-04-08,10.4,31.0,4.2,965.6,963.6
98,9434,2012-04-08,13.1,31.0,10.8,986.5,984.7
98,9898,2012-04-08,12.0,29.0,8.6,949.6,947.4
99,9263D,2012-04-09,13.5,16.0,1.4,964.5,952.5
99,9898,2012-04-09,11.9,10.0,1.9,950.1,943.3
99,9434,2012-04-09,15.5,99.0,3.9,986.0,976.2
99,0076,2012-04-09,14.2,34.0,4.4,1014.5,1008.4
100,9898,2012-04-10,12.6,30.0,5.6,943.3,937.1
100,9263D,2012-04-10,11.5,99.0,6.1,955.5,948.5
100,9434,2012-04-10,15.7,32.0,6.9,978.2,971.1
100,0076,2012-04-10,14.4,99.0,3.3,1008.5,999.5
101,9898,2012-04-11,9.2,29.0,5.8,945.3,942.2
101,9434,2012-04-11,11.4,27.0,3.1,980.4,977.4
101,0076,2012-04-11,14.6,29.0,5.0,1007.4,1004.5
101,9263D,2012-04-11,8.4,26.0,1.7,956.8,954.3
102,9263D,2012-04-12,9.4,31.0,4.4,955.2,951.8
102,0076,2012-04-12,14.0,35.0,3.1,1006.7,1001.6
102,9898,2012-04-12,11.5,31.0,4.4,943.8,938.5
102,9434,2012-04-12,13.3,29.0,4.4,977.5,973.9
103,9263D,2012-04-13,7.8,34.0,3.6,955.2,953.4
103,9434,2012-04-13,11.4,29.0,9.7,977.8,975.4
103,9898,2012-04-13,9.6,30.0,9.7,941.8,939.3
103,0076,2012-04-13,13.4,99.0,6.1,1003.9,1000.5
104,9434,2012-04-14,10.8,29.0,5.6,977.2,971.9
104,9263D,2012-04-14,7.0,30.0,1.7,954.8,949.6
104,0076,2012-04-14,13.2,4.0,5.3,1003.5,997.7
104,9898,2012-04-14,9.4,31.0,6.4,941.8,935.5
105,9263D,2012-04-15,5.8,36.0,4.7,964.5,954.5
105,9898,2012-04-15,9.5,31.0,10.0,946.8,938.0
105,9434,2012-04-15,10.4,29.0,10.8,984.5,975.5
105,0076,2012-04-15,13.4,34.0,4.4,1008.1,1000.7
